dimension,cohort,strategy_name,strategy_version,status,promotion_status,promotion_reason,execution_basis,probability_scored_events,probability_scored_markets,independent_city_date_clusters,eligible_signals,directional_signal_wins,directional_signal_losses,directional_signal_voids,directional_win_rate,directional_win_rate_ci_low,directional_win_rate_ci_high,no_trade_events,submitted_paper_orders,filled_paper_orders,settled_trades,wins,losses,voids,win_rate,win_rate_ci_low,win_rate_ci_high,brier_score,market_brier_score,model_event_count,market_event_count,common_event_count,excluded_model_events,excluded_market_events,exclusion_reasons,model_brier_score,calibration_gap,log_loss,gross_pnl,fees,net_pnl,profit_factor,expectancy,maximum_drawdown,training_period,validation_period,holdout_result,model_weight,market_weight,edge_threshold
market_probability,60-80%,current_observation_conditioned,research-current-v1,EXPLORATORY,REJECTED,No executable point-in-time bid/ask or depth data; forecast-skill evidence only.,FORECAST_SKILL_ONLY,4,4,4,4,3,1,0,0.75,0.3006360524426366,0.9544139373553637,0,0,0,0,0,0,0,,,,0.16367088613795458,0.30054375,4,4,4,0,0,none,0.16367088613795458,0.349564199562287,0.48177923307471926,,,,,,,2026-07-20..2026-07-20,2026-07-21..2026-07-21,,,,0.05
market_probability,80-100%,current_observation_conditioned,research-current-v1,EXPLORATORY,REJECTED,No executable point-in-time bid/ask or depth data; forecast-skill evidence only.,FORECAST_SKILL_ONLY,2,2,2,2,0,2,0,0.0,0.0,0.6576280471103807,0,0,0,0,0,0,0,,,,0.14298291222951554,0.03051249999999999,2,2,2,0,0,none,0.14298291222951554,0.3598982302136465,0.4628245682742582,,,,,,,2026-07-20..2026-07-20,2026-07-21..2026-07-21,,,,0.05
corrected_edge,5_to_10pp,current_observation_conditioned,research-current-v1,EXPLORATORY,REJECTED,No executable point-in-time bid/ask or depth data; forecast-skill evidence only.,FORECAST_SKILL_ONLY,43,43,30,27,15,12,0,0.5555555555555556,0.37312719479576884,0.7241440232992717,3,0,0,0,0,0,0,,,,0.09144173683091104,0.08684709302325581,43,43,43,0,0,none,0.09144173683091104,0.1290424659737203,0.30389919686862527,,,,,,,2026-07-20..2026-07-20,2026-07-21..2026-07-21,,,,0.05
corrected_edge,over_10pp,current_observation_conditioned,research-current-v1,EXPLORATORY,REJECTED,No executable point-in-time bid/ask or depth data; forecast-skill evidence only.,FORECAST_SKILL_ONLY,86,86,34,34,16,18,0,0.47058823529411764,0.31451251633111366,0.6326355957994516,0,0,0,0,0,0,0,,,,0.1925600436393677,0.18415523255813954,86,86,86,0,0,none,0.1925600436393677,0.09771785665527524,0.5785232720716575,,,,,,,2026-07-20..2026-07-20,2026-07-21..2026-07-21,,,,0.05
corrected_edge,under_5pp,current_observation_conditioned,research-current-v1,EXPLORATORY,REJECTED,No executable point-in-time bid/ask or depth data; forecast-skill evidence only.,FORECAST_SKILL_ONLY,111,111,37,0,0,0,0,,,,37,0,0,0,0,0,0,,,,0.05711796509816388,0.05904977477477477,111,111,111,0,0,none,0.05711796509816388,0.02495841987875338,0.17996971088121977,,,,,,,2026-07-20..2026-07-20,2026-07-21..2026-07-21,,,,0.05
spread,high,current_observation_conditioned,research-current-v1,EXPLORATORY,REJECTED,No executable point-in-time bid/ask or depth data; forecast-skill evidence only.,FORECAST_SKILL_ONLY,120,120,20,19,11,8,0,0.5789473684210527,0.36275551465160105,0.7685837960796962,1,0,0,0,0,0,0,,,,0.11274784387141484,0.11963645833333333,120,120,120,0,0,none,0.11274784387141484,0.0810021929714533,0.34089729457970147,,,,,,,2026-07-20..2026-07-20,2026-07-21..2026-07-21,,,,0.05
spread,low,current_observation_conditioned,research-current-v1,EXPLORATORY,REJECTED,No executable point-in-time bid/ask or depth data; forecast-skill evidence only.,FORECAST_SKILL_ONLY,120,120,20,20,7,13,0,0.35,0.18118954786794464,0.5671494897805354,0,0,0,0,0,0,0,,,,0.11085426081701005,0.09808270833333334,120,120,120,0,0,none,0.11085426081701005,0.04576186901386893,0.3490802451813721,,,,,,,2026-07-20..2026-07-20,2026-07-21..2026-07-21,,,,0.05
quote_freshness,captured_at_decision,current_observation_conditioned,research-current-v1,EXPLORATORY,REJECTED,No executable point-in-time bid/ask or depth data; forecast-skill evidence only.,FORECAST_SKILL_ONLY,240,240,40,39,18,21,0,0.46153846153846156,0.3156664723404835,0.6143081317826119,1,0,0,0,0,0,0,,,,0.11180105234421246,0.10885958333333333,240,240,240,0,0,none,0.11180105234421246,0.04014967863059468,0.3449887698805368,,,,,,,2026-07-20..2026-07-20,2026-07-21..2026-07-21,,,,0.05
liquidity,not_recorded,current_observation_conditioned,research-current-v1,EXPLORATORY,REJECTED,No executable point-in-time bid/ask or depth data; forecast-skill evidence only.,FORECAST_SKILL_ONLY,240,240,40,39,18,21,0,0.46153846153846156,0.3156664723404835,0.6143081317826119,1,0,0,0,0,0,0,,,,0.11180105234421246,0.10885958333333333,240,240,240,0,0,none,0.11180105234421246,0.04014967863059468,0.3449887698805368,,,,,,,2026-07-20..2026-07-20,2026-07-21..2026-07-21,,,,0.05
strategy_version,normal-v4-observation-conditioned,current_observation_conditioned,research-current-v1,EXPLORATORY,REJECTED,No executable point-in-time bid/ask or depth data; forecast-skill evidence only.,FORECAST_SKILL_ONLY,240,240,40,39,18,21,0,0.46153846153846156,0.3156664723404835,0.6143081317826119,1,0,0,0,0,0,0,,,,0.11180105234421246,0.10885958333333333,240,240,240,0,0,none,0.11180105234421246,0.04014967863059468,0.3449887698805368,,,,,,,2026-07-20..2026-07-20,2026-07-21..2026-07-21,,,,0.05
forecast_model,stored_ensemble,current_observation_conditioned,research-current-v1,EXPLORATORY,REJECTED,No executable point-in-time bid/ask or depth data; forecast-skill evidence only.,FORECAST_SKILL_ONLY,240,240,40,39,18,21,0,0.46153846153846156,0.3156664723404835,0.6143081317826119,1,0,0,0,0,0,0,,,,0.11180105234421246,0.10885958333333333,240,240,240,0,0,none,0.11180105234421246,0.04014967863059468,0.3449887698805368,,,,,,,2026-07-20..2026-07-20,2026-07-21..2026-07-21,,,,0.05
model_agreement,agreement,current_observation_conditioned,research-current-v1,EXPLORATORY,REJECTED,No executable point-in-time bid/ask or depth data; forecast-skill evidence only.,FORECAST_SKILL_ONLY,120,120,20,20,7,13,0,0.35,0.18118954786794464,0.5671494897805354,0,0,0,0,0,0,0,,,,0.11085426081701005,0.09808270833333334,120,120,120,0,0,none,0.11085426081701005,0.04576186901386893,0.3490802451813721,,,,,,,2026-07-20..2026-07-20,2026-07-21..2026-07-21,,,,0.05
model_agreement,disagreement,current_observation_conditioned,research-current-v1,EXPLORATORY,REJECTED,No executable point-in-time bid/ask or depth data; forecast-skill evidence only.,FORECAST_SKILL_ONLY,120,120,20,19,11,8,0,0.5789473684210527,0.36275551465160105,0.7685837960796962,1,0,0,0,0,0,0,,,,0.11274784387141484,0.11963645833333333,120,120,120,0,0,none,0.11274784387141484,0.0810021929714533,0.34089729457970147,,,,,,,2026-07-20..2026-07-20,2026-07-21..2026-07-21,,,,0.05
