strategy_name,strategy_version,status,promotion_status,promotion_reason,execution_basis,independent_events,settled_rows,wins,losses,win_rate,win_rate_ci_low,win_rate_ci_high,brier_score,market_brier_score,calibration_gap,log_loss,gross_pnl,fees,net_pnl,profit_factor,expectancy,maximum_drawdown,training_period,validation_period,holdout_result,market_blend_weight,edge_threshold
current_observation_conditioned,research-current-v1,EXPLORATORY,REJECTED,No executable point-in-time bid/ask or depth data; forecast-skill evidence only.,FORECAST_SKILL_ONLY,40,240,18,21,0.46153846153846156,0.3156664723404835,0.6143081317826119,0.11180105234421246,0.10885958333333333,0.04014967863059468,0.3449887698805368,,,,,,,2026-07-20..2026-07-20,2026-07-21..2026-07-21,"{'brier_score': 0.11933300888647785, 'market_brier_score': 0.11268197916666667, 'wins': 14, 'losses': 24, 'net_pnl': None, 'promotion_status': 'REJECTED'}",,0.05
hard_lower_bound_truncation,research-hard-lower-bound-v1,EXPLORATORY,REJECTED,No executable point-in-time bid/ask or depth data; forecast-skill evidence only.,FORECAST_SKILL_ONLY,40,240,18,21,0.46153846153846156,0.3156664723404835,0.6143081317826119,0.11180105234421246,0.10885958333333333,0.04014967863059468,0.3449887698805368,,,,,,,2026-07-20..2026-07-20,2026-07-21..2026-07-21,"{'brier_score': 0.11933300888647785, 'market_brier_score': 0.11268197916666667, 'wins': 14, 'losses': 24, 'net_pnl': None, 'promotion_status': 'REJECTED'}",,0.05
raw_ensemble,research-raw-v1,EXPLORATORY,REJECTED,No executable point-in-time bid/ask or depth data; forecast-skill evidence only.,FORECAST_SKILL_ONLY,40,240,16,23,0.41025641025641024,0.27079089435400483,0.5658165152665509,0.11272625532522797,0.10885958333333333,0.034400801718114514,0.36699618093273956,,,,,,,2026-07-20..2026-07-20,2026-07-21..2026-07-21,"{'brier_score': 0.11953066249233531, 'market_brier_score': 0.11268197916666667, 'wins': 13, 'losses': 25, 'net_pnl': None, 'promotion_status': 'REJECTED'}",,0.05
empirical_remaining_day_residual,research-residual-v1,EXPLORATORY,REJECTED,No executable point-in-time bid/ask or depth data; forecast-skill evidence only.,FORECAST_SKILL_ONLY,40,240,16,21,0.43243243243243246,0.2867148684035131,0.5908609366579929,0.1140666492586203,0.10885958333333333,0.030189373030513007,0.36193602172464207,,,,,,,2026-07-20..2026-07-20,2026-07-21..2026-07-21,"{'brier_score': 0.12250711009822139, 'market_brier_score': 0.11268197916666667, 'wins': 10, 'losses': 29, 'net_pnl': None, 'promotion_status': 'REJECTED'}",,0.05
logistic_calibration,research-logistic-v1,EXPLORATORY,REJECTED,No executable point-in-time bid/ask or depth data; forecast-skill evidence only.,FORECAST_SKILL_ONLY,40,240,18,21,0.46153846153846156,0.3156664723404835,0.6143081317826119,0.11145001226560139,0.10885958333333333,0.03948475194381812,0.3437315950475327,,,,,,,2026-07-20..2026-07-20,2026-07-21..2026-07-21,"{'brier_score': 0.11862408604659062, 'market_brier_score': 0.11268197916666667, 'wins': 14, 'losses': 24, 'net_pnl': None, 'promotion_status': 'REJECTED'}",,0.05
isotonic_calibration,research-isotonic-v1,EXPLORATORY,REJECTED,No executable point-in-time bid/ask or depth data; forecast-skill evidence only.,FORECAST_SKILL_ONLY,40,240,19,20,0.48717948717948717,0.3386492878313309,0.6380089135430342,0.11208350280042044,0.10885958333333333,0.027515633947997237,0.3425571083224441,,,,,,,2026-07-20..2026-07-20,2026-07-21..2026-07-21,"{'brier_score': 0.12121229859685766, 'market_brier_score': 0.11268197916666667, 'wins': 15, 'losses': 25, 'net_pnl': None, 'promotion_status': 'REJECTED'}",,0.05
market_prior_weather_update,research-market-prior-v1,EXPLORATORY,REJECTED,No executable point-in-time bid/ask or depth data; forecast-skill evidence only.,FORECAST_SKILL_ONLY,40,240,7,3,0.7,0.39677321997956516,0.892210712513788,0.10575498462677743,0.10885958333333333,0.05126961329925395,0.325186367738364,,,,,,,2026-07-20..2026-07-20,2026-07-21..2026-07-21,"{'brier_score': 0.11166799024974876, 'market_brier_score': 0.11268197916666667, 'wins': 4, 'losses': 1, 'net_pnl': None, 'promotion_status': 'REJECTED'}",,0.05
conservative_no_trade_filter,research-conservative-v1,EXPLORATORY,REJECTED,No executable point-in-time bid/ask or depth data; forecast-skill evidence only.,FORECAST_SKILL_ONLY,40,240,18,15,0.5454545454545454,0.3798565794374957,0.701573108741085,0.11180105234421246,0.10885958333333333,0.04014967863059468,0.3449887698805368,,,,,,,2026-07-20..2026-07-20,2026-07-21..2026-07-21,"{'brier_score': 0.11933300888647785, 'market_brier_score': 0.11268197916666667, 'wins': 12, 'losses': 21, 'net_pnl': None, 'promotion_status': 'REJECTED'}",,0.05
newly_impossible_brackets,research-impossible-v1,EXPLORATORY,REJECTED,No executable point-in-time bid/ask or depth data; forecast-skill evidence only.,FORECAST_SKILL_ONLY,40,240,0,0,,,,0.11180105234421246,0.10885958333333333,0.04014967863059468,0.3449887698805368,,,,,,,2026-07-20..2026-07-20,2026-07-21..2026-07-21,"{'brier_score': 0.11933300888647785, 'market_brier_score': 0.11268197916666667, 'wins': 0, 'losses': 0, 'net_pnl': None, 'promotion_status': 'REJECTED'}",,0.05
late_day_observation_filter,research-late-day-v1,EXPLORATORY,REJECTED,No executable point-in-time bid/ask or depth data; forecast-skill evidence only.,FORECAST_SKILL_ONLY,40,240,0,0,,,,0.11180105234421246,0.10885958333333333,0.04014967863059468,0.3449887698805368,,,,,,,2026-07-20..2026-07-20,2026-07-21..2026-07-21,"{'brier_score': 0.11933300888647785, 'market_brier_score': 0.11268197916666667, 'wins': 0, 'losses': 0, 'net_pnl': None, 'promotion_status': 'REJECTED'}",,0.05
