dimension,cohort,sample_size,mean_error,median_error,mae,rmse,standard_deviation,q10,q25,q75,q90,skew
station,MIA,6,1.8469187675070013,1.4037815126050006,1.8469187675070013,2.2190325119688,1.3474403981200722,0.7462184873949482,1.189495798319328,2.369957983193302,3.390756302521055,0.5757302285446522
station,MSP,4,-1.2100840336134269,-1.0285714285714036,1.2100840336134269,1.5484589403778224,1.1155995229052809,-2.2827731092436965,-1.6455882352940812,-0.5930672268907493,-0.28260504201677594,-0.32602958977431623
station,MSY,5,0.18235294117648096,0.3966386554621977,1.1894117647058806,1.460475916214663,1.6200838352872924,-1.3389915966386383,-0.8579831932773061,0.41680672268910257,1.7363025210084033,0.3320537392047569
station,NYC,6,-0.7703081232493029,-0.9957983193277542,1.0602240896358712,1.1261366453880748,0.8998727505655741,-1.5264705882353056,-1.3487394957983554,-0.5798319327731036,0.21134453781515106,0.8090669483178604
station,OKC,5,-3.0806722689074606,-2.8008403361340015,3.0806722689074606,3.800050174537393,2.4874283156973167,-5.7090756302521015,-4.384033613445396,-1.2344537815125989,-0.7287394957982798,-0.2568220696322217
station,PHL,4,2.0766806722689477,2.525210084033649,2.4481092436975,2.7086839260005915,2.008105573718198,0.19042016806726725,1.5903361344538247,3.011554621848772,3.6041176470588674,-0.4650255947870368
station,PHX,6,0.4529411764704842,0.7155462184871482,2.6112044817926168,2.958675991570569,3.2028627033490444,-3.2373949579831987,-2.119327731092554,3.153991596638825,3.880672268907503,-0.10948075014039997
station,SAT,5,0.16655462184876058,-0.5294117647058982,1.0176470588235162,1.2292633327399047,1.3616845721199689,-0.8460504201679953,-0.564705882352996,0.6126050420167957,1.6537815126050561,0.6346043972889868
station,SEA,5,1.5178151260504378,0.7327731092436949,1.6710924369747986,2.2295863501343356,1.8259560974451996,-0.052100840336102294,0.4445378151260968,2.731092436974805,3.5307563025210187,0.31867441259313917
station,SFO,4,0.14117647058822413,-0.07058823529414937,0.27983193277312424,0.42939655287237183,0.4682600470834241,-0.11773109243697064,-0.09012605042017441,0.16071428571424917,0.5694957983193178,0.7399519460285686
