decision_as_of_utc,event_ticker,market_ticker,city,station,target_date,floor_strike,cap_strike,settled_winner,strategy_version,forecast_model,forecast_run_time,forecast_availability_time,lead_time_days,forecasted_high,model_distribution,ensemble_mean,ensemble_spread,model_disagreement,observed_high_at_decision,latest_temperature,recent_temperature_change,observation_publication_time,distance_to_lower_boundary,distance_to_upper_boundary,executable_yes_price,executable_no_price,bid_ask_spread,quote_time,quote_age_seconds,volume,depth,market_probability,candidate_model_probability,selected_side,fee_adjusted_edge,outcome,fees,net_pnl,execution_basis
2026-07-20T17:01:09.273302+00:00,KXHIGHAUS-26JUL21,KXHIGHAUS-26JUL21-T102,Austin,AUS,2026-07-21,102.0,,False,climate-investigation-v1-2026-07-23,stored_ensemble,,,1,99.9621848739496,stored normal-v4 observation-conditioned,99.9621848739496,2.61079868280611,2.61079868280611,,,,,,,,,,2026-07-20T17:01:09.273302+00:00,0,,,0.035,0.408428912022934,YES,0.35100000000000003,False,,,FORECAST_SKILL_ONLY
2026-07-20T17:01:09.273302+00:00,KXHIGHAUS-26JUL21,KXHIGHAUS-26JUL21-T95,Austin,AUS,2026-07-21,,95.0,False,climate-investigation-v1-2026-07-23,stored_ensemble,,,1,99.9621848739496,stored normal-v4 observation-conditioned,99.9621848739496,2.61079868280611,2.61079868280611,,,,,,,,,,2026-07-20T17:01:09.273302+00:00,0,,,0.02,6.03654733005788e-05,NO,-0.0014999999999999979,False,,,FORECAST_SKILL_ONLY
2026-07-21T17:01:35.265019+00:00,KXHIGHAUS-26JUL22,KXHIGHAUS-26JUL22-B101.5,Austin,AUS,2026-07-22,101.0,102.0,False,climate-investigation-v1-2026-07-23,stored_ensemble,,,1,103.857983193277,stored normal-v4 observation-conditioned,103.857983193277,2.69517760800623,2.69517760800623,,,,,,,,,,2026-07-21T17:01:35.265019+00:00,0,,,0.225,0.0369825619951777,NO,0.1558,False,,,FORECAST_SKILL_ONLY
2026-07-21T17:01:35.265019+00:00,KXHIGHAUS-26JUL22,KXHIGHAUS-26JUL22-B103.5,Austin,AUS,2026-07-22,103.0,104.0,True,climate-investigation-v1-2026-07-23,stored_ensemble,,,1,103.857983193277,stored normal-v4 observation-conditioned,103.857983193277,2.69517760800623,2.69517760800623,,,,,,,,,,2026-07-21T17:01:35.265019+00:00,0,,,0.365,0.191596244854292,NO,0.1372,True,,,FORECAST_SKILL_ONLY
2026-07-21T17:01:35.265019+00:00,KXHIGHAUS-26JUL22,KXHIGHAUS-26JUL22-B105.5,Austin,AUS,2026-07-22,105.0,106.0,False,climate-investigation-v1-2026-07-23,stored_ensemble,,,1,103.857983193277,stored normal-v4 observation-conditioned,103.857983193277,2.69517760800623,2.69517760800623,,,,,,,,,,2026-07-21T17:01:35.265019+00:00,0,,,0.255,0.380695799007201,YES,0.09240000000000001,False,,,FORECAST_SKILL_ONLY
2026-07-21T17:01:35.265019+00:00,KXHIGHAUS-26JUL22,KXHIGHAUS-26JUL22-B99.5,Austin,AUS,2026-07-22,99.0,100.0,False,climate-investigation-v1-2026-07-23,stored_ensemble,,,1,103.857983193277,stored normal-v4 observation-conditioned,103.857983193277,2.69517760800623,2.69517760800623,,,,,,,,,,2026-07-21T17:01:35.265019+00:00,0,,,0.035,0.00270662919470253,NO,0.009900000000000003,False,,,FORECAST_SKILL_ONLY
2026-07-21T17:01:35.265019+00:00,KXHIGHAUS-26JUL22,KXHIGHAUS-26JUL22-T106,Austin,AUS,2026-07-22,106.0,,False,climate-investigation-v1-2026-07-23,stored_ensemble,,,1,103.857983193277,stored normal-v4 observation-conditioned,103.857983193277,2.69517760800623,2.69517760800623,,,,,,,,,,2026-07-21T17:01:35.265019+00:00,0,,,0.115,0.387943907977202,YES,0.24579999999999996,False,,,FORECAST_SKILL_ONLY
2026-07-21T17:01:35.265019+00:00,KXHIGHAUS-26JUL22,KXHIGHAUS-26JUL22-T99,Austin,AUS,2026-07-22,,99.0,False,climate-investigation-v1-2026-07-23,stored_ensemble,,,1,103.857983193277,stored normal-v4 observation-conditioned,103.857983193277,2.69517760800623,2.69517760800623,,,,,,,,,,2026-07-21T17:01:35.265019+00:00,0,,,0.02,7.48569714252411e-05,NO,-0.0014999999999999979,False,,,FORECAST_SKILL_ONLY
2026-07-20T17:01:09.273302+00:00,KXHIGHCHI-26JUL20,KXHIGHCHI-26JUL20-B83.5,Chicago,MDW,2026-07-20,83.0,84.0,False,climate-investigation-v1-2026-07-23,stored_ensemble,,,0,85.7621848739496,stored normal-v4 observation-conditioned,85.7621848739496,2.18903243065998,2.18903243065998,78.08,,,,-4.920000000000002,5.920000000000002,,,,2026-07-20T17:01:09.273302+00:00,0,,,0.455,0.118834467327384,NO,0.2988,False,,,FORECAST_SKILL_ONLY
2026-07-20T17:01:09.273302+00:00,KXHIGHCHI-26JUL20,KXHIGHCHI-26JUL20-B85.5,Chicago,MDW,2026-07-20,85.0,86.0,False,climate-investigation-v1-2026-07-23,stored_ensemble,,,0,85.7621848739496,stored normal-v4 observation-conditioned,85.7621848739496,2.18903243065998,2.18903243065998,78.08,,,,-6.920000000000002,7.920000000000002,,,,2026-07-20T17:01:09.273302+00:00,0,,,0.325,0.386414286747313,YES,0.026000000000000002,False,,,FORECAST_SKILL_ONLY
2026-07-20T17:01:09.273302+00:00,KXHIGHCHI-26JUL20,KXHIGHCHI-26JUL20-B87.5,Chicago,MDW,2026-07-20,87.0,88.0,False,climate-investigation-v1-2026-07-23,stored_ensemble,,,0,85.7621848739496,stored normal-v4 observation-conditioned,85.7621848739496,2.18903243065998,2.18903243065998,78.08,,,,-8.920000000000002,9.920000000000002,,,,2026-07-20T17:01:09.273302+00:00,0,,,0.115,0.370514183329275,YES,0.2284,False,,,FORECAST_SKILL_ONLY
2026-07-20T17:01:09.273302+00:00,KXHIGHCHI-26JUL20,KXHIGHCHI-26JUL20-B89.5,Chicago,MDW,2026-07-20,89.0,90.0,False,climate-investigation-v1-2026-07-23,stored_ensemble,,,0,85.7621848739496,stored normal-v4 observation-conditioned,85.7621848739496,2.18903243065998,2.18903243065998,78.08,,,,-10.920000000000002,11.920000000000002,,,,2026-07-20T17:01:09.273302+00:00,0,,,0.005,0.104677432755084,YES,0.0794,False,,,FORECAST_SKILL_ONLY
2026-07-20T17:01:09.273302+00:00,KXHIGHCHI-26JUL20,KXHIGHCHI-26JUL20-T83,Chicago,MDW,2026-07-20,,83.0,True,climate-investigation-v1-2026-07-23,stored_ensemble,,,0,85.7621848739496,stored normal-v4 observation-conditioned,85.7621848739496,2.18903243065998,2.18903243065998,78.08,,,,,4.920000000000002,,,,2026-07-20T17:01:09.273302+00:00,0,,,0.15,0.0108302197975206,NO,0.1103,True,,,FORECAST_SKILL_ONLY
2026-07-20T17:01:09.273302+00:00,KXHIGHCHI-26JUL20,KXHIGHCHI-26JUL20-T90,Chicago,MDW,2026-07-20,90.0,,False,climate-investigation-v1-2026-07-23,stored_ensemble,,,0,85.7621848739496,stored normal-v4 observation-conditioned,85.7621848739496,2.18903243065998,2.18903243065998,78.08,,,,-11.920000000000002,,,,,2026-07-20T17:01:09.273302+00:00,0,,,0.005,0.00872941004342298,YES,-0.016599999999999997,False,,,FORECAST_SKILL_ONLY
2026-07-20T17:01:09.273302+00:00,KXHIGHCHI-26JUL21,KXHIGHCHI-26JUL21-B84.5,Chicago,MDW,2026-07-21,84.0,85.0,False,climate-investigation-v1-2026-07-23,stored_ensemble,,,1,85.2512605042017,stored normal-v4 observation-conditioned,85.2512605042017,1.90168816823095,1.90168816823095,,,,,,,,,,2026-07-20T17:01:09.273302+00:00,0,,,0.335,0.324352845308452,NO,-0.025,False,,,FORECAST_SKILL_ONLY
2026-07-20T17:01:09.273302+00:00,KXHIGHCHI-26JUL21,KXHIGHCHI-26JUL21-B86.5,Chicago,MDW,2026-07-21,86.0,87.0,True,climate-investigation-v1-2026-07-23,stored_ensemble,,,1,85.2512605042017,stored normal-v4 observation-conditioned,85.2512605042017,1.90168816823095,1.90168816823095,,,,,,,,,,2026-07-20T17:01:09.273302+00:00,0,,,0.24,0.41889209305052,YES,0.1461,True,,,FORECAST_SKILL_ONLY
2026-07-20T17:01:09.273302+00:00,KXHIGHCHI-26JUL21,KXHIGHCHI-26JUL21-B88.5,Chicago,MDW,2026-07-21,88.0,89.0,False,climate-investigation-v1-2026-07-23,stored_ensemble,,,1,85.2512605042017,stored normal-v4 observation-conditioned,85.2512605042017,1.90168816823095,1.90168816823095,,,,,,,,,,2026-07-20T17:01:09.273302+00:00,0,,,0.105,0.159770854879587,YES,0.028200000000000003,False,,,FORECAST_SKILL_ONLY
2026-07-20T17:01:09.273302+00:00,KXHIGHCHI-26JUL21,KXHIGHCHI-26JUL21-B90.5,Chicago,MDW,2026-07-21,90.0,91.0,False,climate-investigation-v1-2026-07-23,stored_ensemble,,,1,85.2512605042017,stored normal-v4 observation-conditioned,85.2512605042017,1.90168816823095,1.90168816823095,,,,,,,,,,2026-07-20T17:01:09.273302+00:00,0,,,0.035,0.0176966553885588,NO,-0.0051,False,,,FORECAST_SKILL_ONLY
2026-07-20T17:01:09.273302+00:00,KXHIGHCHI-26JUL21,KXHIGHCHI-26JUL21-T84,Chicago,MDW,2026-07-21,,84.0,False,climate-investigation-v1-2026-07-23,stored_ensemble,,,1,85.2512605042017,stored normal-v4 observation-conditioned,85.2512605042017,1.90168816823095,1.90168816823095,,,,,,,,,,2026-07-20T17:01:09.273302+00:00,0,,,0.285,0.0787295091316434,NO,0.17200000000000001,False,,,FORECAST_SKILL_ONLY
2026-07-20T17:01:09.273302+00:00,KXHIGHCHI-26JUL21,KXHIGHCHI-26JUL21-T91,Chicago,MDW,2026-07-21,91.0,,False,climate-investigation-v1-2026-07-23,stored_ensemble,,,1,85.2512605042017,stored normal-v4 observation-conditioned,85.2512605042017,1.90168816823095,1.90168816823095,,,,,,,,,,2026-07-20T17:01:09.273302+00:00,0,,,0.015,0.000558042241237864,NO,-0.006600000000000002,False,,,FORECAST_SKILL_ONLY
2026-07-21T17:01:35.265019+00:00,KXHIGHCHI-26JUL22,KXHIGHCHI-26JUL22-B69.5,Chicago,MDW,2026-07-22,69.0,70.0,False,climate-investigation-v1-2026-07-23,stored_ensemble,,,1,72.1890756302521,stored normal-v4 observation-conditioned,72.1890756302521,1.47066167029296,1.47066167029296,,,,,,,,,,2026-07-21T17:01:35.265019+00:00,0,,,0.105,0.07874898863573,NO,-0.0002999999999999982,False,,,FORECAST_SKILL_ONLY
2026-07-21T17:01:35.265019+00:00,KXHIGHCHI-26JUL22,KXHIGHCHI-26JUL22-B71.5,Chicago,MDW,2026-07-22,71.0,72.0,False,climate-investigation-v1-2026-07-23,stored_ensemble,,,1,72.1890756302521,stored normal-v4 observation-conditioned,72.1890756302521,1.47066167029296,1.47066167029296,,,,,,,,,,2026-07-21T17:01:35.265019+00:00,0,,,0.295,0.333001014550411,YES,0.0034000000000000002,False,,,FORECAST_SKILL_ONLY
2026-07-21T17:01:35.265019+00:00,KXHIGHCHI-26JUL22,KXHIGHCHI-26JUL22-B73.5,Chicago,MDW,2026-07-22,73.0,74.0,True,climate-investigation-v1-2026-07-23,stored_ensemble,,,1,72.1890756302521,stored normal-v4 observation-conditioned,72.1890756302521,1.47066167029296,1.47066167029296,,,,,,,,,,2026-07-21T17:01:35.265019+00:00,0,,,0.305,0.414077347055909,YES,0.0743,True,,,FORECAST_SKILL_ONLY
2026-07-21T17:01:35.265019+00:00,KXHIGHCHI-26JUL22,KXHIGHCHI-26JUL22-B75.5,Chicago,MDW,2026-07-22,75.0,76.0,False,climate-investigation-v1-2026-07-23,stored_ensemble,,,1,72.1890756302521,stored normal-v4 observation-conditioned,72.1890756302521,1.47066167029296,1.47066167029296,,,,,,,,,,2026-07-21T17:01:35.265019+00:00,0,,,0.175,0.152030822952294,NO,-0.007099999999999999,False,,,FORECAST_SKILL_ONLY
2026-07-21T17:01:35.265019+00:00,KXHIGHCHI-26JUL22,KXHIGHCHI-26JUL22-T69,Chicago,MDW,2026-07-22,,69.0,False,climate-investigation-v1-2026-07-23,stored_ensemble,,,1,72.1890756302521,stored normal-v4 observation-conditioned,72.1890756302521,1.47066167029296,1.47066167029296,,,,,,,,,,2026-07-21T17:01:35.265019+00:00,0,,,0.035,0.00545393079381447,NO,0.007099999999999999,False,,,FORECAST_SKILL_ONLY
2026-07-21T17:01:35.265019+00:00,KXHIGHCHI-26JUL22,KXHIGHCHI-26JUL22-T76,Chicago,MDW,2026-07-22,76.0,,False,climate-investigation-v1-2026-07-23,stored_ensemble,,,1,72.1890756302521,stored normal-v4 observation-conditioned,72.1890756302521,1.47066167029296,1.47066167029296,,,,,,,,,,2026-07-21T17:01:35.265019+00:00,0,,,0.065,0.0166878960118413,NO,0.024000000000000004,False,,,FORECAST_SKILL_ONLY
2026-07-20T17:01:09.273302+00:00,KXHIGHDEN-26JUL20,KXHIGHDEN-26JUL20-B101.5,Denver,DEN,2026-07-20,101.0,102.0,False,climate-investigation-v1-2026-07-23,stored_ensemble,,,0,99.5529411764706,stored normal-v4 observation-conditioned,99.5529411764706,1.06935934641481,1.06935934641481,87.98,,,,-13.019999999999996,14.019999999999996,,,,2026-07-20T17:01:09.273302+00:00,0,,,0.295,0.335449432100635,YES,0.0058,False,,,FORECAST_SKILL_ONLY
2026-07-20T17:01:09.273302+00:00,KXHIGHDEN-26JUL20,KXHIGHDEN-26JUL20-B95.5,Denver,DEN,2026-07-20,95.0,96.0,False,climate-investigation-v1-2026-07-23,stored_ensemble,,,0,99.5529411764706,stored normal-v4 observation-conditioned,99.5529411764706,1.06935934641481,1.06935934641481,87.98,,,,-7.019999999999996,8.019999999999996,,,,2026-07-20T17:01:09.273302+00:00,0,,,0.005,0.0226965898713806,YES,-0.002599999999999998,False,,,FORECAST_SKILL_ONLY
2026-07-20T17:01:09.273302+00:00,KXHIGHDEN-26JUL20,KXHIGHDEN-26JUL20-B97.5,Denver,DEN,2026-07-20,97.0,98.0,False,climate-investigation-v1-2026-07-23,stored_ensemble,,,0,99.5529411764706,stored normal-v4 observation-conditioned,99.5529411764706,1.06935934641481,1.06935934641481,87.98,,,,-9.019999999999996,10.019999999999996,,,,2026-07-20T17:01:09.273302+00:00,0,,,0.065,0.145199535400184,YES,0.05589999999999999,False,,,FORECAST_SKILL_ONLY
